,title,description,year,age_limit,rating,minutes,hours,age_limit_encoded,clean_tokenised_description,lemmatized_description,topic,topic_name
93,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Охота</span>","Учитель живет одинокой жизнью, все время борясь за опеку своего сына. Его жизнь постепенно становится лучше, когда он находит любовь и получает хорошие новости от своего сына, но его новая удача - это ... прочитать все",2012,16+,8.3,55,1,4,"['учитель', 'живет', 'одинокой', 'жизнью', 'время', 'борясь', 'опеку', 'своего', 'сына', 'жизнь', 'постепенно', 'становится', 'находит', 'любовь', 'получает', 'хорошие', 'новости', 'своего', 'сына', 'новая', 'удача', 'это', 'прочитать']",учитель жить одинокий жизнь время бороться опека сын жизнь постепенно становиться находить любовь получать хороший новость сын новый удача это прочитать,0,Повседневные драмы и семейные истории
94,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Жить</span>","Бюрократ пытается найти смысл в своей жизни после того, как обнаружит, что у него терминальный рак.",1952,Not Rated,8.3,23,2,9,"['бюрократ', 'пытается', 'найти', 'смысл', 'своей', 'жизни', 'обнаружит', 'терминальный', 'рак']",бюрократ пытаться найти смысл жизнь обнаружить терминальный рак,3,Криминальные триллеры и полицейские расследования
95,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Вечное сияние чистого разума</span>","Когда их отношения становятся кислыми, пара проходит медицинскую процедуру, чтобы навсегда стираться друг от друга из их воспоминаний.",2004,16+,8.3,48,1,4,"['отношения', 'становятся', 'кислыми', 'пара', 'проходит', 'медицинскую', 'процедуру', 'навсегда', 'стираться', 'друг', 'друга', 'воспоминаний']",отношение становиться кислый пара проходить медицинский процедура навсегда стираться друг друг воспоминание,0,Повседневные драмы и семейные истории
96,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">2001 год: Космическая одиссея</span>","Когда на Луне раскрывается таинственный артефакт, космический корабль, укомплектованный двумя людьми, и один суперкомпьютер отправляется в Юпитер, чтобы найти его происхождение.",1968,12+,8.3,29,2,2,"['луне', 'раскрывается', 'таинственный', 'артефакт', 'космический', 'корабль', 'укомплектованный', 'двумя', 'людьми', 'суперкомпьютер', 'отправляется', 'юпитер', 'найти', 'происхождение']",луна раскрываться таинственный артефакт космический корабль укомплектовать человек суперкомпьютер отправляться юпитер найти происхождение,1,Эпическая фантастика и космические приключения
97,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бешеные псы</span>","Когда простой украшение ограблений идет ужасно неправильно, выжившие преступники начинают подозревать, что один из них - полицейский информатор.",1992,18+,8.3,39,1,5,"['простой', 'украшение', 'ограблений', 'идет', 'ужасно', 'неправильно', 'выжившие', 'преступники', 'начинают', 'подозревать', 'полицейский', 'информатор']",простой украшение ограбление идти ужасно неправильно выжить преступник начинать подозревать полицейский информатор,3,Криминальные триллеры и полицейские расследования
98,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Квартира</span>","Манхэттенский страховой клерк пытается подняться в своей компании, позволяя ее руководителям использовать его квартиру для свидания, но офисная политика и его собственные романтические надежды усложняют вопросы.",1960,Approved,8.3,5,2,7,"['манхэттенский', 'страховой', 'клерк', 'пытается', 'подняться', 'своей', 'компании', 'позволяя', 'руководителям', 'использовать', 'квартиру', 'свидания', 'офисная', 'политика', 'собственные', 'романтические', 'надежды', 'усложняют', 'вопросы']",манхэттенский страховой клерк пытаться подняться компания позволять руководитель использовать квартира свидание офисный политика собственный романтический надежда усложнять вопрос,3,Криминальные триллеры и полицейские расследования
99,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Пожары</span>","Близнецы отправятся на Ближний Восток, чтобы открыть для себя семейную историю и выполнить последние пожелания своей матери.",2010,16+,8.3,11,2,4,"['близнецы', 'отправятся', 'ближний', 'восток', 'открыть', 'семейную', 'историю', 'выполнить', 'последние', 'пожелания', 'своей', 'матери']",близнец отправиться ближний восток открыть семейный история выполнить последний пожелание мать,0,Повседневные драмы и семейные истории
100,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Лоуренс Аравийский</span>","История Т.Е. Лоуренс, английский офицер, который успешно объединился и руководил разнообразными, часто враждующими арабскими племенами во время Первой мировой войны, чтобы сражаться с турками.",1962,PG,8.3,47,3,10,"['история', 'те', 'лоуренс', 'английский', 'офицер', 'успешно', 'объединился', 'руководил', 'разнообразными', 'часто', 'враждующими', 'арабскими', 'племенами', 'время', 'первой', 'мировой', 'войны', 'сражаться', 'турками']",история лоуренс английский офицер успешно объединиться руководить разнообразный часто враждовать арабский племя время первый мировой война сражаться турок,1,Эпическая фантастика и космические приключения
101,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Лицо со шрамом</span>","В 1980-х годах определенный кубинский иммигрант, настроенный на преступник, становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге отменен своей собственной наркоманией.",1983,18+,8.3,50,2,5,"['1980х', 'годах', 'определенный', 'кубинский', 'иммигрант', 'настроенный', 'преступник', 'становится', 'крупнейшим', 'контрабандистом', 'наркотиков', 'майами', 'конечном', 'итоге', 'отменен', 'своей', 'собственной', 'наркоманией']",1980ха определённый кубинский иммигрант настроить преступник становиться крупный контрабандист наркотик майами конечный итог отменный собственный наркомания,3,Криминальные триллеры и полицейские расследования
102,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Двойная страховка</span>","Страховой представитель соблазняется недовольной домохозяйкой в ​​схему страхового мошенничества и убийства, которая вызывает подозрение его коллеги, следователя по претензиям.",1944,Approved,8.3,47,1,7,"['страховой', 'представитель', 'соблазняется', 'недовольной', 'домохозяйкой', '\u200b\u200bсхему', 'страхового', 'мошенничества', 'убийства', 'которая', 'вызывает', 'подозрение', 'коллеги', 'следователя', 'претензиям']",страховой представитель соблазняться недовольный домохозяйка ​​схема страховой мошенничество убийство вызывать подозрение коллега следователь претензия,3,Криминальные триллеры и полицейские расследования
103,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">На север через северо-запад</span>","Руководитель по рекламе в Нью -Йорке идет в бегах после того, как его приняли за правительственный агент группой иностранных шпионов, и влюбляется в женщину, чьи лояльности он начинает сомневаться.",1959,12+,8.3,16,2,2,"['руководитель', 'рекламе', 'нью', 'йорке', 'идет', 'бегах', 'приняли', 'правительственный', 'агент', 'группой', 'иностранных', 'шпионов', 'влюбляется', 'женщину', 'чьи', 'лояльности', 'начинает', 'сомневаться']",руководитель реклама нью йорк идти бега принять правительственный агент группа иностранный шпион влюбляться женщина чей лояльность начинать сомневаться,3,Криминальные триллеры и полицейские расследования
104,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Схватка</span>","Группа высококлассных профессиональных воров начинает чувствовать жар от LAPD, когда они неосознанно оставляют словесную подсказку в своем последнем ограблении.",1995,16+,8.3,50,2,4,"['группа', 'высококлассных', 'профессиональных', 'воров', 'начинает', 'чувствовать', 'жар', 'lapd', 'неосознанно', 'оставляют', 'словесную', 'подсказку', 'своем', 'последнем', 'ограблении']",группа высококлассный профессиональный вор начинать чувствовать жар lapd неосознанно оставлять словесный подсказка последний ограбление,3,Криминальные триллеры и полицейские расследования
105,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Гражданин Кейн</span>","После смерти издательства магната Чарльза Фостера Кейна, журналисты пытаются раскрыть значение его последнего высказывания: «Роузбуд».",1941,12+,8.3,59,1,2,"['смерти', 'издательства', 'магната', 'чарльза', 'фостера', 'кейна', 'журналисты', 'пытаются', 'раскрыть', 'значение', 'последнего', 'высказывания', '«', 'роузбуд', '»']",смерть издательство магнат чарльз фостер кейный журналист пытаться раскрыть значение последний высказывание « роузбуд »,0,Повседневные драмы и семейные истории
106,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Вверх</span>","78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оборудованном воздушными шарами, непреднамеренно взяв молодого устремления.",2009,0+,8.3,36,1,1,"['78летний', 'карл', 'фредриксен', 'отправляется', 'южную', 'америку', 'своем', 'доме', 'оборудованном', 'воздушными', 'шарами', 'непреднамеренно', 'взяв', 'молодого', 'устремления']",78летний карл фредриксен отправляться южный америка дом оборудовать воздушный шар непреднамеренный взять молодой устремление,1,Эпическая фантастика и космические приключения
107,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">М убийца</span>","Когда полиция в немецком городе не может поймать убийца ребенка, другие преступники присоединяются к охоте.",1931,18+,8.3,57,1,5,"['полиция', 'немецком', 'городе', 'поймать', 'убийца', 'ребенка', 'другие', 'преступники', 'присоединяются', 'охоте']",полиция немецкий город поймать убийца ребёнок преступник присоединяться охота,3,Криминальные триллеры и полицейские расследования
108,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Цельнометаллическая оболочка</span>","Прагматичный морской пехотинец наблюдает за дегуманизирующими последствиями, которые война во Вьетнаме оказывает на своих собратьев -новобранцев от своих жестоких тренировок в кролическом лагере до кровавой улицы, борьбы с Хюэ.",1987,18+,8.2,56,1,5,"['прагматичный', 'морской', 'пехотинец', 'наблюдает', 'дегуманизирующими', 'последствиями', 'которые', 'война', 'вьетнаме', 'оказывает', 'своих', 'собратьев', 'новобранцев', 'своих', 'жестоких', 'тренировок', 'кролическом', 'лагере', 'кровавой', 'улицы', 'борьбы', 'хюэ']",прагматичный морской пехотинец наблюдать дегуманизирующий последствие война вьетнам оказывать собрат новобранец жестокий тренировка кролический лагер кровавый улица борьба хюэ,1,Эпическая фантастика и космические приключения
109,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Головокружение</span>","Бывший детектив полиции Сан -Франциско жонглирует со своими личными демонами и становясь одержимой навязчиво красивой женщиной, которую его наняли, чтобы трость, которая может быть глубоко прочитать все",1958,16+,8.3,8,2,4,"['бывший', 'детектив', 'полиции', 'сан', 'франциско', 'жонглирует', 'своими', 'личными', 'демонами', 'становясь', 'одержимой', 'навязчиво', 'красивой', 'женщиной', 'которую', 'наняли', 'трость', 'которая', 'глубоко', 'прочитать']",бывший детектив полиция сан франциско жонглировать личный демон становиться одержимый навязчивый красивый женщина нанять трость глубоко прочитать,3,Криминальные триллеры и полицейские расследования
110,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Амели</span>","Несмотря на то, что молодая официантка Амели решает помочь людям найти счастье. Ее стремление распространять радость приводит ее в путешествие, во время которого она находит настоящую любовь.",2001,12+,8.3,2,2,2,"['несмотря', 'молодая', 'официантка', 'амели', 'решает', 'помочь', 'людям', 'найти', 'счастье', 'стремление', 'распространять', 'радость', 'приводит', 'путешествие', 'время', 'которого', 'находит', 'настоящую', 'любовь']",несмотря молодой официантка амели решать помочь человек найти счастие стремление распространять радость приводить путешествие время находить настоящий любовь,0,Повседневные драмы и семейные истории
111,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Развод Надера и Симин</span>","Супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в Иране и присматривать за ухудшением родителей, у которого есть болезнь Альцгей ... читать все",2011,PG-13,8.3,3,2,11,"['супружеская', 'пара', 'сталкивается', 'трудным', 'решением', 'улучшить', 'жизнь', 'своего', 'ребенка', 'переехав', 'другую', 'страну', 'остаться', 'иране', 'присматривать', 'ухудшением', 'родителей', 'которого', 'болезнь', 'альцгей', 'читать']",супружеский пара сталкиваться трудный решение улучшить жизнь ребёнок переехать страна остаться иран присматривать ухудшение родитель болезнь альцгей читать,0,Повседневные драмы и семейные истории
112,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Заводной апельсин</span>",Алекс Деярдж и его Droogs варварся разлагаются в ближайшее время.,1971,18+,8.2,16,2,5,"['алекс', 'деярдж', 'droogs', 'варварся', 'разлагаются', 'ближайшее', 'время']",алекс деярдж droogs варварсить разлагаться близкий время,1,Эпическая фантастика и космические приключения
113,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Убить пересмешника</span>","Овдовевший адвокат в эпохе депрессии Алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.",1962,Approved,8.3,9,2,7,"['овдовевший', 'адвокат', 'эпохе', 'депрессии', 'алабамы', 'защищает', 'чернокожих', 'ложного', 'обвинения', 'изнасиловании', 'обучая', 'своих', 'маленьких', 'детей', 'печальной', 'реальности', 'предрассудков']",овдоветь адвокат эпоха депрессия алабама защищать чернокожий ложный обвинение изнасилование обучать маленький ребёнок печальный реальность предрассудок,-1,Военные драмы и супергеройские конфликты
114,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Крепкий орешек</span>","Полицейский из Нью -Йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на Накатоми Плаза в Лос -Анджелесе.",1988,16+,8.2,12,2,4,"['полицейский', 'нью', 'йорка', 'пытается', 'спасти', 'отчужденную', 'жену', 'несколько', 'других', 'взятых', 'террористов', 'время', 'рождественской', 'вечеринки', 'накатоми', 'плаза', 'лос', 'анджелесе']",полицейский нью йорк пытаться спасти отчудить жена несколько взять террорист время рождественский вечеринка накатомь плаз лос анджелес,3,Криминальные триллеры и полицейские расследования
115,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Афера</span>","Два сбора объединяются, чтобы снять Ultimate Con.",1973,0+,8.3,9,2,1,"['сбора', 'объединяются', 'снять', 'ultimate', 'con']",сбор объединяться снять ultimate con,-1,Военные драмы и супергеройские конфликты
116,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Звёздочки на земле</span>","Считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.",2007,0+,8.3,42,2,1,"['считается', 'молодой', 'мальчик', 'является', 'иным', 'ленивым', 'нарушителем', 'нарушителя', 'пока', 'нового', 'учителя', 'искусства', 'терпения', 'сострадания', 'обнаружить', 'реальную', 'проблему', 'стоящую', 'борьбой', 'школе']",считаться молодой мальчик являться иной ленивый нарушитель нарушитель пока новый учитель искусство терпение сострадание обнаружить реальный проблема стоящий борьба школа,-1,Военные драмы и супергеройские конфликты
117,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Оппенгеймер</span>","Драматизация истории жизни Дж. Роберта Оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец Второй мировой войне.",2023,18+,8.3,0,3,5,"['драматизация', 'истории', 'жизни', 'дж', 'роберта', 'оппенгеймера', 'физика', 'которого', 'большая', 'рука', 'развитии', 'атомных', 'бомб', 'которые', 'положили', 'конец', 'второй', 'мировой', 'войне']",драматизация история жизнь дж роберт оппенгеймер физика больший рука развитие атомный бомба положить конец второй мировой война,2,Исторические драмы о Второй мировой войне
118,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Индиана Джонс и последний крестовый поход</span>","В 1938 году, после того, как его отец пропал без вести, преследуя Святой Грааль, Индиана Джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.",1989,0+,8.2,7,2,1,"['1938', 'году', 'отец', 'пропал', 'вести', 'преследуя', 'святой', 'грааль', 'индиана', 'джонс', 'снова', 'оказывается', 'против', 'нацистов', 'помешать', 'получить', 'свои', 'силы']",1938 отец пропасть вести преследовать святой грааль индиана джонс снова оказываться против нацист помешать получить сила,2,Исторические драмы о Второй мировой войне
119,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Метрополис</span>","В футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает пришествие ... Прочтите все",1927,(Banned),8.3,33,2,0,"['футуристическом', 'городе', 'резко', 'разделенном', 'рабочим', 'классом', 'планировщиками', 'города', 'сын', 'вдохновителя', 'города', 'влюбляется', 'пророка', 'рабочего', 'класса', 'предсказывает', 'пришествие', 'прочтите']",футуристический город резко разделить рабочий класс планировщик город сын вдохновитель город влюбляться пророк рабочий класс предсказывать пришествие прочесть,0,Повседневные драмы и семейные истории
120,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Большой куш</span>","Ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.",2000,16+,8.2,44,1,4,"['ноблезные', 'боксерские', 'промоутеры', 'жестокие', 'букмекеры', 'русский', 'гангстер', 'некомпетентные', 'грабители', 'любители', 'предположительно', 'еврейские', 'ювелиры', 'борются', 'выследить', 'бесценный', 'украденный', 'бриллиант']",ноблезный боксёрский промоутер жестокий букмекер русский гангстер некомпетентный грабитель любитель предположительно еврейский ювелир бороться выследить бесценный украсть бриллиант,3,Криминальные триллеры и полицейские расследования
121,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">1917</span>","6 апреля 1917 года. По мере того, как пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донесут сообщение, которое остановит 1600 человек из WA ... Прочтите все",2019,16+,8.2,59,1,4,"['6', 'апреля', '1917', 'года', 'мере', 'пехотный', 'батальон', 'собирается', 'вести', 'войну', 'глубоко', 'территории', 'противника', 'солдата', 'назначаются', 'участия', 'гонке', 'временем', 'донесут', 'сообщение', 'которое', 'остановит', '1600', 'человек', 'wa', 'прочтите']",6 апрель 1917 мера пехотный батальон собираться вести война глубоко территория противник солдат назначаться участие гонка время донести сообщение остановить 1600 человек wa прочесть,1,Эпическая фантастика и космические приключения
122,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Секреты Лос-Анджелеса</span>","По мере роста коррупции в 1950 -х годах Лос -Анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.",1997,16+,8.2,18,2,4,"['мере', 'роста', 'коррупции', '1950', 'х', 'годах', 'лос', 'анджелеса', 'полицейских', 'проливных', 'жестокий', 'неряшливый', 'расследуйте', 'серию', 'убийств', 'своим', 'собственным', 'брендом', 'справедливости']",мера рост коррупция 1950 х лос анджелес полицейский проливный жестокий неряшливый расследовать серия убийство собственный бренд справедливость,3,Криминальные триллеры и полицейские расследования
123,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Похитители велосипедов</span>","В послевоенной Италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. Он и его сын решили найти это.",1948,Not Rated,8.2,29,1,9,"['послевоенной', 'италии', 'похищен', 'велосипед', 'рабочего', 'класса', 'угрожая', 'усилиям', 'поиску', 'работы', 'сын', 'решили', 'найти', 'это']",послевоенный италия похитить велосипед рабочий класс угрожать усилие поиск работа сын решить найти это,-1,Военные драмы и супергеройские конфликты
124,"<span class=""hero__primary-text"" data-testid=""hero__primary-text"">Бункер</span>","Траудл Юнге, финальный секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его Берлинском бункере в конце Второй мировой войны.",2004,12+,8.2,36,2,2,"['траудл', 'юнге', 'финальный', 'секретарь', 'адольфа', 'гитлера', 'рассказывает', 'последних', 'днях', 'нацистского', 'диктатора', 'берлинском', 'бункере', 'конце', 'второй', 'мировой', 'войны']",траудло юнга финальный секретарь адольф гитлер рассказывать последний день нацистский диктатор берлинский бункер конец второй мировой война,2,Исторические драмы о Второй мировой войне
